time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
0,2.20891646584084,2.54440261860983,2.03721107293218,2.10051443513743,2.16417275682563,2.14505947760571,2.17749285816946,2.35941813012608,2.2507201320797,1.89072003980767,1.90925086221223,2.02912037594364,2.06258994194475,2.19592286705911,2.11402180842892,2.06548798148088,1.7698658373057,2.07952133477821,1.9446637184478,2.3512776878189,2.05642980652289,2.20579085747328,2.00727154672831,2.03737017679434,1.96380660069572,2.59701221320076,2.37788363764223,2.32079509769491,2.03115453774277,2.15969869687643,1.97344898110393,2.17351916919618,2.28734778462368,2.06651781284407,2.0159222142095,1.90808416771473,2.0360290153923,2.11490720969867,2.08643390899098,2.3891057630752
0.5,5.69582264738434,5.45345007584632,5.38467735004688,5.21318414095136,5.49644974892477,5.72798687088353,6.17629797766065,5.71055435161604,5.04447782247289,5.36822683090514,5.45936760557101,5.82043295165664,5.48332338398593,5.8830538985799,4.87051370185662,6.24956010926531,6.19725681409748,5.65705917847135,6.52165051515374,5.81363467123897,5.92944086603188,5.24699849677109,5.58714233076765,5.99335312750439,5.38370179266621,5.79037555979878,5.48929946305923,4.78680284824351,5.5553391059698,5.66660759268036,5.62940485974253,6.08196375657047,5.62665532701833,5.92522421362785,5.78694983628471,5.36994445299688,5.46687519984643,5.81785255784393,5.77933534529794,5.74844508245442
1,5.90718149144462,5.78648208350689,5.72592450602027,5.93996096953267,6.45214456532631,6.40015479528223,6.41895463529559,5.80930570809606,5.75475469462298,5.5085894346324,5.84760137127541,6.21974008188877,6.23452309471164,6.55564795612305,5.86564970202171,6.85355844455639,6.35965187107759,6.27659875315825,7.0564774581544,6.43131688202654,6.23646701419705,6.24558688404872,6.14925589949456,6.40936158718034,6.35637026795783,6.08319360571511,6.18710089465684,5.58313380186411,6.3967488175476,6.23377548208804,6.13686896431949,6.31788650229046,6.91330785600797,5.85896258425287,6.20260710081758,6.25106357589994,6.61231077778053,6.14597351653878,6.04087043720531,5.98661208444021
1.5,6.22899710735517,6.24728103548712,6.48976333810386,6.28051470550083,6.83717567786302,6.5218366407523,6.92886497122407,6.41624393909112,6.10196247069596,6.31229052898996,6.12470765357032,6.23744738870573,6.17620277204647,6.23484195893335,5.47393051492991,6.80532173559231,6.66799525843552,6.50388895690719,7.23707486518231,6.83389378340401,6.41891827340709,6.30055925189944,6.0678211965014,6.34396683049303,6.3828961128929,6.60812541329996,6.51008352763665,5.97726423366147,6.44035007255498,6.32157161212653,6.4870420551797,6.84586784063156,6.88677844967071,6.19751224646026,6.18749222194138,6.24505958004881,6.77963701298339,6.57172564659842,6.09062434058362,6.42018417179521
2,6.21113382181908,6.33109126680194,6.66214714428862,6.76640574663493,6.47890410795473,6.00058179801119,7.02854292945101,6.59285095534949,6.256817606616,5.86495491599245,5.96432392204346,6.67674864682895,6.82043736004515,6.34794448110457,5.85255849874004,6.75901666281525,7.126228492324,6.35499346583928,7.17162399890634,6.85188516688857,6.52854901452434,6.61486472772301,6.44995021198492,6.78736402532321,6.52814987636865,6.79973177763957,6.72927390211963,6.37954236670243,6.73199040518277,6.73114278811143,6.80274991585166,7.07128152217748,7.0756707290941,6.58161738456803,6.4241165867154,6.50065024752763,6.87627383482386,6.42263462508874,6.56530302869348,6.53776396771575
2.5,6.77465340711796,6.81614409079638,6.28205005970437,6.60023079866357,6.54587320983386,6.77896596509817,6.82894186423534,6.40299279736287,6.83512145036079,6.13810184157855,6.62250164062435,6.55351249329765,7.19094041584995,7.15200908460694,5.996693076643,7.21243246438791,7.08251091716913,6.65245667259598,7.61446927431573,7.1689924123249,6.70885224408749,6.45819894477336,6.52549488199548,7.05328846916403,6.451221389842,6.43273681364628,6.57526210397261,5.92876663074726,6.63006433481041,6.57426044999156,6.72468729286238,7.10082145331479,7.43466999365388,7.01221534985759,6.3575520485202,6.96646913796314,6.77877471536049,6.68141660156259,6.79954826756925,6.50898120130642
3,6.12552890337596,6.39167379457574,6.74215299204903,6.96349470486687,6.72654913847618,6.80579356897861,6.83849471902502,6.59105617960229,6.27506786963646,6.15570949588561,6.19617442710178,6.5949764805128,7.1951260299251,6.65546040241758,5.83707287519909,6.97497712281593,7.56732725664365,6.8451676556391,7.2911152030842,6.70245366434726,6.79177816217585,6.48525456815493,6.35030504331359,7.10955997476072,6.64195281239021,7.05384263238388,6.41971663987599,6.2191140517086,6.6943489970862,6.77317367583074,6.93538291675201,7.58331709294233,7.39570584727689,6.34461687412481,6.34911330656832,6.4178174101029,7.09045574772393,6.76272199763339,6.40608064033636,6.50392372470876
3.5,6.56925270930715,6.40556158950052,6.72095927327638,6.73930592378352,6.8002139109656,6.44448735602765,6.78793872909352,7.04907443131118,6.5360532601043,6.38002301141121,6.4607081888695,6.51845846628384,7.33053981988629,6.92111121826874,5.76369915649775,7.08427743771751,6.9709846464061,6.37223771659716,7.51571403983993,6.84758797973136,6.91791563700879,6.52398293814809,6.74354810007545,6.99306496350448,6.43352734404447,6.95276805246056,6.61918387749602,6.468216584311,6.99533022605442,6.87935045038028,7.03385251382923,7.68754169434041,7.3499277518905,6.84984322850632,6.58089366888083,7.01239977438641,7.01114131073784,6.86523153848116,6.8576156710952,6.86631503656381
4,6.62151825242542,6.62118094110871,7.02447798809183,7.01748147777374,6.48038544483908,6.638334406603,7.04690808614511,6.74640318005784,7.07416383226989,6.18709148217766,6.38974176324892,6.57083414312142,7.27192031791164,6.69651520008558,5.89464807967029,7.04199500637869,7.16235354505108,6.88309659545083,7.27179054260676,7.21201958765957,7.05785591499297,7.00679702581773,7.13805767556637,7.40457252020547,6.5988015613174,7.08931416918274,6.90025294090371,6.26909355574394,7.09304755971846,6.59540400437513,6.61591312312683,7.44861797113942,7.5863884010919,6.50573640673769,6.9196735659606,6.75835162755245,6.80470251819333,7.22106240842978,7.05314137821229,6.28217288470106
4.5,6.68554988880973,6.69575746104888,6.90989595064314,6.67116153393642,6.71794530370344,6.58753071990629,7.17295635461434,6.78120705514959,6.68455321015681,5.97255040922197,6.65644487038667,6.28779890640437,7.38975034581453,6.7226343017402,6.00132689858735,7.04389158167814,7.07476142441022,6.82325531007186,7.20741100249021,6.96422304474172,7.06985736920241,6.79893107950807,6.80578950944588,7.25132117782915,6.94239094705435,7.13839623905753,6.44840832505031,6.63372408946895,6.69792476125231,6.22801322189767,6.90669997304084,7.28503814182716,7.63422784657467,6.94882184851742,6.42176433148496,7.09875468239315,7.4873063998236,6.65226109230358,7.0274103700264,6.90037820945919
5,6.21572469520327,6.25277723597946,7.05856887951269,6.80680474538852,7.14733982981418,7.01166262344265,6.82487507254354,6.80558181358587,6.38011245155329,6.2758558855966,6.38977603618175,6.71910194607709,7.05183097458558,6.60234739358831,5.89705311432688,6.89184565899804,7.29158822746759,6.58655873531378,7.08493424040035,7.19170066371208,7.32784386291763,6.67859764167718,6.68414458777423,6.84920161165039,6.48648744777677,6.97028513557531,6.54020395583347,6.54410417838101,7.06475303522014,6.27389069268018,7.17821696108018,7.38641946213718,7.60325843286178,7.0702422082802,6.73012731724313,6.91577461975355,7.27767642216887,6.64664781921775,7.03823653861553,6.74194636179723
5.5,6.80509349001182,6.7559124548339,6.87626617764699,6.98106661856506,6.94278080406305,6.83621045529611,6.85744688465911,6.70339749068301,6.47738171448936,6.22676985933096,6.89049205122709,6.40903334633058,7.23321854213889,6.75165720756508,5.53034124685649,6.72341912877728,7.30467594265319,6.64483319707087,7.46913113064552,6.65363636011034,6.93285672599289,6.96686986519945,6.99898639716279,7.27622305369239,6.57320643106977,6.94917387211438,7.05788426810652,6.63006608458457,6.93164343604,6.46307150276969,7.42338157419169,7.56116507324416,7.54749176637775,6.59297599195789,6.41353954582295,6.84381874184273,7.07628897989649,6.69306799931426,6.70722236919412,6.80130561939197
6,6.4048417500694,6.90604701630271,6.56107119307213,7.33053875712827,6.47272122851341,6.68530865365438,6.74734835680391,6.59772546781221,6.82740203631238,6.04460019773193,6.9056357681294,6.88039338318282,6.87710318344709,6.68252606903015,6.1531708514982,7.02810879245298,7.43039106994836,6.58671511878681,7.11746572628118,6.60764890013146,7.2877399012023,6.69718756493988,7.2933822367814,6.97987991881618,6.24968419145017,6.96656603704281,6.6379069912692,6.80525915683974,7.04997460918592,6.51044034808609,6.93609310793351,7.54393354684766,7.57826095941843,6.75691396694811,6.39773250045277,6.56006912366881,7.10180176762132,6.98023322413552,6.86835635033335,6.88214051651639
6.5,6.63042953931589,6.79541767734192,7.11922674419473,6.51486417188754,7.19873778764887,6.26563086985735,7.01485505628509,6.51913205542755,6.86080362874676,5.77052756275083,6.57367168560244,6.87945899596515,7.46657791565629,6.69912747729003,5.7277035675432,7.24853015649854,7.22791530364308,6.78258567310852,7.21568677983554,6.89861353109924,6.9520896320281,6.60202638372911,6.75688169818793,7.4953837531751,6.08541155898788,6.90513921370054,7.10751757873902,6.62474346739738,7.26934562377121,6.30071256577556,7.05541329208728,8.12234083341848,7.26434256568542,7.15571866070712,6.4714064176468,6.81956379824904,7.36728542952558,6.57390886570184,6.90058793986397,6.27211644208859
7,6.44615145989179,6.90621904721158,7.05652355575086,6.89809906874839,6.61848318178413,6.69414563531711,6.84868821855176,6.48334322624871,6.79281832390813,6.14206434929027,6.41483065915508,6.56217503163423,7.12779946420868,6.59909959431085,6.19764178302568,6.65502300826454,7.32009285653026,6.72176270692202,7.39190604234782,6.79519095623488,7.24636416212657,6.73480579443027,6.77238263764626,7.38329672428776,6.19059294189628,6.3951628712968,6.55170098864133,6.89155427448278,6.72444328157501,6.25904886202393,6.84749966733729,7.53775047552695,7.63405998568669,6.7834175931356,6.5572190809474,6.90485778123192,7.10445740656038,6.35132429437988,7.33434159545663,6.42819537931012
