time,obs,obs_id,id
0,2.20891646584084,1,1
0.5,5.69582264738434,1,1
1,5.90718149144462,1,1
1.5,6.22899710735517,1,1
2,6.21113382181908,1,1
2.5,6.77465340711796,1,1
3,6.12552890337596,1,1
3.5,6.56925270930715,1,1
4,6.62151825242542,1,1
4.5,6.68554988880973,1,1
5,6.21572469520327,1,1
5.5,6.80509349001182,1,1
6,6.4048417500694,1,1
6.5,6.63042953931589,1,1
7,6.44615145989179,1,1
7.5,6.39955662081676,1,1
8,6.32251575421667,1,1
8.5,6.39047849382688,1,1
9,6.08714873419185,1,1
9.5,6.61620845979197,1,1
10,6.29885906053132,1,1
10.5,6.03801626167807,1,1
11,6.59435168937798,1,1
11.5,6.44993388614888,1,1
12,6.00791556331019,1,1
12.5,6.45305447390999,1,1
13,6.13183146877205,1,1
13.5,5.87123953682637,1,1
14,6.13442501800312,1,1
14.5,5.95188898962046,1,1
15,6.10216582754457,1,1
15.5,5.98384697938814,1,1
16,6.14122775633786,1,1
16.5,5.94017402049489,1,1
17,6.13472671156789,1,1
17.5,6.00101087250439,1,1
18,6.08149825137916,1,1
18.5,5.71851746898931,1,1
19,5.79409554581395,1,1
19.5,6.01485519443038,1,1
20,5.80031725755229,1,1
20.5,5.62892731876858,1,1
21,6.01409547685559,1,1
21.5,5.96309975725029,1,1
22,5.51258726354945,1,1
22.5,5.50318822652668,1,1
23,5.87989627306603,1,1
23.5,5.34555021725916,1,1
24,5.55401344924072,1,1
24.5,5.81249852445923,1,1
25,5.58246734210646,1,1
25.5,5.44405054389367,1,1
26,5.39155258661927,1,1
26.5,5.16799238635835,1,1
27,5.33723761258529,1,1
27.5,5.17767753544815,1,1
28,5.32231670006891,1,1
28.5,5.21352316366874,1,1
29,5.15052038999724,1,1
29.5,5.32551146972064,1,1
30,4.91122013829255,1,1
0,2.54440261860983,1,2
0.5,5.45345007584632,1,2
1,5.78648208350689,1,2
1.5,6.24728103548712,1,2
2,6.33109126680194,1,2
2.5,6.81614409079638,1,2
3,6.39167379457574,1,2
3.5,6.40556158950052,1,2
4,6.62118094110871,1,2
4.5,6.69575746104888,1,2
5,6.25277723597946,1,2
5.5,6.7559124548339,1,2
6,6.90604701630271,1,2
6.5,6.79541767734192,1,2
7,6.90621904721158,1,2
7.5,6.83341983053235,1,2
8,6.94902996549909,1,2
8.5,6.70163702887677,1,2
9,6.9608294991512,1,2
9.5,6.68438077066338,1,2
10,6.60666841116472,1,2
10.5,6.75665579504529,1,2
11,6.99578682697217,1,2
11.5,6.9267688360529,1,2
12,6.46175253360251,1,2
12.5,6.902160536562,1,2
13,6.35796420204201,1,2
13.5,6.51775389888085,1,2
14,6.4680182704263,1,2
14.5,6.61720715184169,1,2
15,6.57390029621337,1,2
15.5,6.67277172972511,1,2
16,6.2811409158041,1,2
16.5,6.43401610228795,1,2
17,6.38517220693616,1,2
17.5,6.43491733333669,1,2
18,6.49414224519964,1,2
18.5,6.46871658315503,1,2
19,6.5565376090394,1,2
19.5,6.52729132326907,1,2
20,6.16722294595563,1,2
20.5,6.35710669332472,1,2
21,6.23691811295486,1,2
21.5,6.32531434450482,1,2
22,6.23963369543971,1,2
22.5,6.17299152257923,1,2
23,6.39730122138449,1,2
23.5,6.21110692132085,1,2
24,6.1974999746083,1,2
24.5,6.12302344283467,1,2
25,6.3243514524177,1,2
25.5,5.86207151187909,1,2
26,6.21413048275017,1,2
26.5,5.70069868127699,1,2
27,6.23817823220283,1,2
27.5,5.31116666687464,1,2
28,5.82070805979177,1,2
28.5,5.81395639234119,1,2
29,5.56231797708965,1,2
29.5,6.12298018477488,1,2
30,6.21221811353122,1,2
0,2.03721107293218,1,3
0.5,5.38467735004688,1,3
1,5.72592450602027,1,3
1.5,6.48976333810386,1,3
2,6.66214714428862,1,3
2.5,6.28205005970437,1,3
3,6.74215299204903,1,3
3.5,6.72095927327638,1,3
4,7.02447798809183,1,3
4.5,6.90989595064314,1,3
5,7.05856887951269,1,3
5.5,6.87626617764699,1,3
6,6.56107119307213,1,3
6.5,7.11922674419473,1,3
7,7.05652355575086,1,3
7.5,6.93116660803603,1,3
8,6.98931283813447,1,3
8.5,6.95920838775799,1,3
9,6.56514181118844,1,3
9.5,6.75142731744634,1,3
10,6.70457149899014,1,3
10.5,6.57310098315961,1,3
11,6.79170951971875,1,3
11.5,6.46811796912755,1,3
12,6.83455273492391,1,3
12.5,6.21883826751992,1,3
13,6.6901033256988,1,3
13.5,6.4978085274669,1,3
14,6.9072113032967,1,3
14.5,6.35396253486067,1,3
15,6.63518441238357,1,3
15.5,6.457780784295,1,3
16,6.65483220368528,1,3
16.5,6.16482084427028,1,3
17,6.15160204758222,1,3
17.5,5.85175161507362,1,3
18,6.40091766507095,1,3
18.5,5.94105545477736,1,3
19,5.94176146238054,1,3
19.5,6.60400561973831,1,3
20,6.0219466789138,1,3
20.5,5.69889667129837,1,3
21,5.83650360925549,1,3
21.5,5.6214885200978,1,3
22,5.83504464408261,1,3
22.5,5.99265492297942,1,3
23,5.94934530252584,1,3
23.5,5.5348933761746,1,3
24,5.46075828112046,1,3
24.5,5.98452506240116,1,3
25,5.41155601570889,1,3
25.5,5.699527570754,1,3
26,6.16802983479186,1,3
26.5,5.86768513532562,1,3
27,5.74086170541393,1,3
27.5,5.9516378751942,1,3
28,5.4968108094879,1,3
28.5,5.03392786070529,1,3
29,5.39544749862724,1,3
29.5,5.25347865555928,1,3
30,5.49607813497417,1,3
0,2.10051443513743,1,4
0.5,5.21318414095136,1,4
1,5.93996096953267,1,4
1.5,6.28051470550083,1,4
2,6.76640574663493,1,4
2.5,6.60023079866357,1,4
3,6.96349470486687,1,4
3.5,6.73930592378352,1,4
4,7.01748147777374,1,4
4.5,6.67116153393642,1,4
5,6.80680474538852,1,4
5.5,6.98106661856506,1,4
6,7.33053875712827,1,4
6.5,6.51486417188754,1,4
7,6.89809906874839,1,4
7.5,6.96083520462062,1,4
8,6.76069859281934,1,4
8.5,6.63462172576089,1,4
9,6.7094996387962,1,4
9.5,6.53698136391241,1,4
10,6.79515953162009,1,4
10.5,6.83755331376744,1,4
11,6.97697914153849,1,4
11.5,6.65536664633448,1,4
12,7.29895712551011,1,4
12.5,6.99508091165818,1,4
13,6.77702772621631,1,4
13.5,6.79491239699664,1,4
14,6.89631857356317,1,4
14.5,6.77522330506455,1,4
15,6.85347527687534,1,4
15.5,6.92422131200261,1,4
16,6.40839223952115,1,4
16.5,6.51902851199307,1,4
17,6.3849043015514,1,4
17.5,6.38730036219644,1,4
18,6.64168061625223,1,4
18.5,6.55175136353784,1,4
19,6.69980738334922,1,4
19.5,6.45103066962458,1,4
20,6.38060655893673,1,4
20.5,6.19565756196265,1,4
21,6.33012034480724,1,4
21.5,6.28815655709597,1,4
22,6.56292566429569,1,4
22.5,6.00041396244788,1,4
23,6.08637304634611,1,4
23.5,6.88837656185029,1,4
24,6.5146349748071,1,4
24.5,6.33615300421781,1,4
25,6.26723834322188,1,4
25.5,6.24450654702875,1,4
26,5.86107453643678,1,4
26.5,5.93430720609394,1,4
27,6.37057351058915,1,4
27.5,6.44056679309788,1,4
28,6.16387787319665,1,4
28.5,5.87999884349871,1,4
29,5.91862026863729,1,4
29.5,5.96415949756706,1,4
30,5.78411902221219,1,4
0,2.16417275682563,1,5
0.5,5.49644974892477,1,5
1,6.45214456532631,1,5
1.5,6.83717567786302,1,5
2,6.47890410795473,1,5
2.5,6.54587320983386,1,5
3,6.72654913847618,1,5
3.5,6.8002139109656,1,5
4,6.48038544483908,1,5
4.5,6.71794530370344,1,5
5,7.14733982981418,1,5
5.5,6.94278080406305,1,5
6,6.47272122851341,1,5
6.5,7.19873778764887,1,5
7,6.61848318178413,1,5
7.5,6.6276002015437,1,5
8,6.91345890285519,1,5
8.5,6.41791787459386,1,5
9,6.45407884421033,1,5
9.5,6.70993839926444,1,5
10,6.47876009932088,1,5
10.5,6.31611662575921,1,5
11,6.6437805429412,1,5
11.5,6.37153876164669,1,5
12,6.41181529497878,1,5
12.5,6.61307730602714,1,5
13,6.68725046165761,1,5
13.5,6.40616165916974,1,5
14,6.50048369970675,1,5
14.5,6.46889930136939,1,5
15,6.40914083597054,1,5
15.5,5.96965188375458,1,5
16,6.36310881612628,1,5
