time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
0,2.04832528225048,2.12903277664368,2.14193989394324,2.0900338937813,2.08045720983312,2.13337156981924,2.05464803038876,2.08270325715976,2.12195778594073,2.02894220233898,2.07370219759736,2.05948142273508,2.07141493416721,2.06330635204451,2.08783070441218,2.0425156457605,2.05299902227409,2.13454135080975,2.08174481601122,2.08302953177716,4.09948541299906,2.05703859764318,2.04055479032274,2.0491651779311,2.05603581609872,2.09323966903831,2.16319044875102,2.06992076011618,2.04163844996197,2.02632250139331,2.0741296473695,2.07478075213731,2.09993835250927,2.0511226870087,2.07386964237649,2.06349370994915,2.01776443998302,2.08501621533086,2.04949098340268,2.09403611467763
0.508474576271186,4.91980599443261,2.11728960803024,5.39099880510447,2.12708169753296,6.03504939021315,6.06367200102794,3.82408444783762,5.85486927968868,2.09386284959982,2.01957264283398,5.63410521406212,2.08754949753132,2.10235267529138,5.05910203209664,2.12295388168068,3.30227419141125,5.33701969825185,2.07826566397506,3.29856072528446,2.08765828189309,6.07344623238135,4.01319815046721,2.07748012657463,2.02984293832695,5.16936124007861,2.01588825055888,5.41888166384441,2.06537543904069,5.25033205306137,5.5595343554172,4.95261699961492,3.58791441359104,2.13531042050722,2.07446479094111,5.58879658345866,2.70465212762278,5.16481373375164,5.54504351922243,5.45994301985454,2.04288128670844
1.01694915254237,5.75179203317076,2.75608990654009,6.1147501848207,5.51262442411369,6.76248196649276,6.64356000829708,5.43069886654789,6.46208766617179,5.65380766209833,5.35899947487065,6.73622211015727,5.64684463192622,6.04613896557228,6.10808821214007,5.833961784226,5.70737081226725,6.05031337393278,4.58295461085229,5.12053995305138,5.28533903747604,6.70652551365273,5.71225457828988,4.53746052907012,5.27805353135473,6.27739343288817,2.06786272207694,6.20676854470029,2.06202149811314,6.09228887237994,6.22693742435343,5.73684685213824,5.70200379444108,2.11204164537813,5.49609902797839,6.20072580297395,5.87696828082874,6.22300754958205,6.15857531309674,6.25628611874799,4.83682545605671
1.52542372881356,6.10346189095313,5.38182087581839,6.43738955265016,6.13836109702352,6.98367343805412,6.9683510148652,5.91767801407684,6.6653633756165,6.12353502098693,6.04249858945784,6.9773247338669,6.62261070123314,6.57889512848699,6.62889203965319,6.41727574271769,6.12228857903976,6.54741580968856,5.68625151771322,5.65089690914361,6.06082143513266,6.94228328384707,6.2937136782015,5.45842620115593,5.97564580007179,6.7821941875398,2.06627632675425,6.59590656695119,5.55830702182666,6.56798084154984,6.5053106383323,6.04258486772941,6.22904057825651,5.6287874417681,5.96195415733257,6.50831279318122,6.28661790550069,6.55290072120728,6.4653277816456,6.68696841127613,5.76101953032166
2.03389830508475,6.2741792046887,5.77967404335159,6.66311242083187,6.54671566513283,7.20456501992235,7.14816671278656,6.2427564143475,6.81441625887331,6.51740008396025,6.46998384354667,7.14027592053194,7.04052729635923,6.86632239647469,6.90524445643367,6.60764060599665,6.38471237386293,6.6907426466014,6.33918410092447,5.96493766168652,6.3623885836209,7.09124188499934,6.58683323283615,5.84183888188573,6.25653697584063,6.96164999313532,2.24717640340052,6.62715899103058,6.19917997259794,6.7484009420675,6.72924640244672,6.19301936738097,6.50067755777087,6.26407037488222,6.22996206918783,6.69811194197848,6.70271650773011,6.71057337842686,6.73715905365094,6.85098975792162,6.08926029258289
2.54237288135593,6.39476623800711,6.11924599970254,6.70500280818099,6.64114991093951,7.26662056293559,7.22422892417917,6.38078602477329,6.99838312350169,6.68722429226714,6.76727028928702,7.25795291173216,7.26361445021472,7.04420802980628,7.04822640565788,6.73641985559021,6.63136866456312,6.87574044426618,6.49193825501809,6.05095720750065,6.63297445746574,7.15413041815479,6.66914552641653,5.98156731722224,6.47804079616136,7.1336966769034,5.839899682573,6.8299343814444,6.41761444807333,6.85546767157401,6.88575251302677,6.35376506994347,6.79536579222258,6.33560307886796,6.43703511715097,6.78776393507256,6.84101426860092,6.88263377968141,6.80282053419368,7.00287865780532,6.36332606748163
3.05084745762712,6.49795462902267,6.23683242467524,6.82322342037305,6.77742522243479,7.26463786193211,7.23793548378804,6.46094397244959,6.98302379530749,6.71708019639868,7.01704660068409,7.2826870973476,7.44068011848852,7.11914652622878,7.1485246758015,6.74658635623519,6.76722972839521,6.96512747306905,6.65847867922512,6.14251861683861,6.77146577412363,7.19228255313359,6.7463924642215,6.03523762924863,6.60516218580714,7.17109101702029,6.29814888725849,6.8658053951167,6.59798468986556,6.94703395109033,6.99793474411453,6.39533121585184,6.72935299693644,6.39527842715013,6.47424895593366,6.97193998693281,6.9092198462304,6.91530322953312,6.82452733572504,7.1365069431052,6.52170823822671
3.5593220338983,6.49762617476088,6.48057255762886,6.83509335542083,6.8695990732661,7.38843249243101,7.27112098922376,6.56254420078412,6.99039639843511,6.86396727302585,6.95299256949336,7.31353244335002,7.55418382833301,7.17004257938691,7.17364853679595,6.76041266461492,6.80043880822713,7.05084736528641,6.74877941909663,6.21946612265654,6.82792545721741,7.28697112379901,6.81394018167738,6.03056498024997,6.70052399221272,7.29485827524943,6.48730027035801,6.91812864212208,6.79465456060914,7.02347227809546,6.97056540371352,6.49361970432508,6.81039158559066,6.45471732423394,6.58643038447088,7.03381754808797,6.97123383612826,6.9597405976109,6.89641384389542,7.18999525354293,6.59921706735986
4.06779661016949,6.52509077269614,6.47610322417371,6.88062995710466,6.79224731932461,7.44726833355174,7.2564420319237,6.67320600991784,7.07631896003629,6.88029733700261,7.01398059284025,7.34845268884002,7.65392757955183,7.22716287037926,7.2691728898889,6.74518872542899,6.90622390817663,7.07660399100044,6.82739628876051,6.1470657568901,6.91588285005795,7.27800020557605,6.78989033501316,6.12536833051556,6.81610472926602,7.28725830123572,6.65288434158415,6.94418153357812,6.89604795339228,7.00782693549114,7.01830011332136,6.53862813532565,6.90205250981522,6.46805641534913,6.5725968432968,7.05242485400756,7.0633998900089,6.95433384769004,6.90061948607191,7.24909708561448,6.65820916504228
4.57627118644068,6.54249237055324,6.535619370589,6.94125792137474,6.85865750519984,7.36166983011424,7.22928789002095,6.70954029244337,7.08225680012728,6.93659535158801,7.0820738753554,7.29471629849559,7.72456425534199,7.31337876949753,7.33118911376626,6.74872509950416,6.94079607610996,7.19594532554302,6.91596133845457,6.16389186032238,6.91600324292686,7.32862691678457,6.80842453964607,6.17028061579712,6.80865804812784,7.32884833436196,6.84105785869399,7.0074219348148,6.95400087863353,7.15446064650564,7.09232707563958,6.53835989322248,6.94423913117825,6.49456842104069,6.56475806901797,7.08194442601586,6.9945292604716,6.9956492009745,6.85894924829325,7.24955611374462,6.81631083905947
