data_set,individual_indices
20160427_mean_eGFP.xlsx,1
20160427_mean_eGFP.xlsx,2
20160427_mean_eGFP.xlsx,3
20160427_mean_eGFP.xlsx,4
20160427_mean_eGFP.xlsx,5
20160427_mean_eGFP.xlsx,6
20160427_mean_eGFP.xlsx,7
20160427_mean_eGFP.xlsx,8
20160427_mean_eGFP.xlsx,9
20160427_mean_eGFP.xlsx,10
20160427_mean_eGFP.xlsx,11
20160427_mean_eGFP.xlsx,12
20160427_mean_eGFP.xlsx,13
20160427_mean_eGFP.xlsx,14
20160427_mean_eGFP.xlsx,15
20160427_mean_eGFP.xlsx,16
20160427_mean_eGFP.xlsx,17
20160427_mean_eGFP.xlsx,18
20160427_mean_eGFP.xlsx,19
20160427_mean_eGFP.xlsx,20
20160427_mean_eGFP.xlsx,21
20160427_mean_eGFP.xlsx,22
20160427_mean_eGFP.xlsx,23
20160427_mean_eGFP.xlsx,24
20160427_mean_eGFP.xlsx,25
20160427_mean_eGFP.xlsx,26
20160427_mean_eGFP.xlsx,27
20160427_mean_eGFP.xlsx,28
20160427_mean_eGFP.xlsx,29
20160427_mean_eGFP.xlsx,30
20160427_mean_eGFP.xlsx,31
20160427_mean_eGFP.xlsx,32
20160427_mean_eGFP.xlsx,33
20160427_mean_eGFP.xlsx,34
20160427_mean_eGFP.xlsx,35
20160427_mean_eGFP.xlsx,36
20160427_mean_eGFP.xlsx,37
20160427_mean_eGFP.xlsx,38
20160427_mean_eGFP.xlsx,39
20160427_mean_eGFP.xlsx,40
