time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100
0,-0.0407117698739019,-1.00020037919157,0.0232774915021347,-0.388541001654105,-0.64084763189692,-0.307637247044497,-0.127187870359281,0.0934539067827965,0.82750645041438,-0.604450701874855,0.603789551265658,-0.0787106394942111,-0.214359207805819,-0.204774104850801,-0.230184816790093,0.583479162989985,0.228891530736341,0.209941094538551,-0.230209629573042,-0.185868499906203,0.377254159499129,0.101327042534198,-0.463510978825326,-0.346772648113795,-0.331105559119271,-0.0236368824499503,-0.383912839553246,0.17981904881909,-0.161444706509573,-0.0559587926950769,0.082857085486853,0.240307185886457,-0.260389473931557,0.750365039817662,0.120446123121544,-0.116408412288303,0.0344027709999874,0.498008018115885,0.250901579196276,-0.137351643717509,0.256206121349533,-0.35178310738162,0.0564646812644815,0.0650937958935469,0.800150767133778,-0.0405954114784188,-0.344597490917347,-0.0810506051652761,0.148055852922396,-0.163632485676501,0.0999122485929615,0.436625224161163,0.340937337879476,-0.104820080207865,0.171669218618775,-0.468249566046961,0.206451888277209,0.0649710265684405,0.171751535887652,0.23366900842035,0.0372486573759862,-0.137161754090235,0.39295510620704,-0.689630090897153,0.623254886873771,0.174401111487749,-0.239022221785724,-0.0952737389204287,0.383889834435337,-0.681762264911473,0.452917943043627,0.0227840010459839,-0.164607074940243,-0.169537939948504,-0.0945213392178248,-0.410581100124745,0.559360963621599,0.36346009927339,-0.371073075938301,-0.0412199589017046,-0.162353071406055,0.302727829960714,-0.0917639580874906,0.452371657275257,-0.0154196488593507,0.176357379660995,-0.232449518754529,0.223759333502573,0.11323588869318,0.0216479418462381,-0.298513806767298,0.0341789031654692,-0.27415066949874,-0.521066346343672,-0.48404493857558,-0.616671184593212,0.0228842341106156,0.23493816578328,0.492974808726859,-0.175545457500673
0.2,0.851812245417176,1.73946541421675,0.546253626541564,0.759982635120017,0.507150697172281,1.36662110731148,0.744854332696045,1.95126968575361,0.477172699250884,0.810142804345546,0.938573729869176,1.0037315900187,0.698443239180457,1.78185122706764,0.465547293636844,1.93525027878531,0.812850197103887,0.754529397041822,0.843885943027306,3.48853239953917,0.376936277543577,2.97384408093159,0.912921556075331,1.18665396801386,0.653447291595211,1.45651872742193,0.74805647249599,0.766523308090623,0.852478663828465,2.58988546691956,1.4113494090289,2.10309676090625,0.841532480546487,1.21978280488574,0.891674987188142,1.26291054329166,1.8477468265341,0.939160529186054,0.588951202214546,0.944159104007145,0.493482645833395,1.30149461561859,1.02825186071437,1.20647335280436,0.793359653131354,1.29235706780307,1.37777049670907,0.198069902362906,0.734403989262858,0.671138354985026,2.17157840103248,0.83133370994052,0.551869768671556,0.679202680122031,0.332073416667071,0.512746551465515,1.6358525567174,1.09005284901152,0.297192664890961,0.892967165226546,0.776193726963184,1.05418640295777,0.830941281648042,0.760589940770121,0.872624618405276,0.821047577664958,0.134130904529934,0.74600730301553,1.23280511756228,0.504801815208211,1.80355934398354,0.209991105573501,0.592757186260183,0.959336457754371,0.42260900638733,0.480861633720403,1.80869435400683,1.30692978231568,1.36160237190804,1.5312053525551,1.08441628254349,-0.492159388394172,1.12800504794247,2.1578986842273,0.522315334051385,0.914879273615974,0.00597753203081475,0.882139242759571,1.86781819720011,-0.207032684688801,1.32564814309978,0.974583477522727,0.0449590429231098,0.401149107129166,2.64547471848636,0.565721141071098,1.59256419440231,0.187131843839084,0.410499864898158,2.47021795412136
0.4,1.00711263398499,3.0264828919615,1.50779523713673,1.88022710415955,2.03767365157771,0.654841547481589,2.39277750253317,2.85008892395633,0.979499772637186,1.5103707985814,2.85698202700696,1.76309769497861,1.76684866686059,3.26986861577337,0.344580693560992,3.01127972391214,1.02980637556039,1.08531533509073,0.792352089141909,6.4214541958364,1.56664349061691,5.52336238817934,2.14879651499976,2.14585621676199,2.68667298922373,2.01681083057857,2.01609394316994,1.00205087699244,2.58496144235588,4.53899727180597,1.89138974297109,0.349303144261584,1.88646544450554,0.976100335746988,1.75426315440498,1.38660154195988,2.97894840383382,1.51811104212492,1.34332580138649,2.40224194833965,1.33337327764268,1.23116741552347,2.0909427043508,2.35868172085987,2.86727294796369,2.91109155978675,2.62618762497249,0.250894324969468,0.673583170806781,1.5976957715956,4.80234088511272,1.95568896275608,1.57654426384907,1.62130082693382,1.63625322203901,1.61502403137537,2.48632851392156,1.3451104746699,0.835123277994807,1.1854495810387,1.24383864304115,2.09108893691504,1.62834899271875,1.19360872875419,2.8981198782391,2.76800307922918,1.74811232150041,1.53344064432087,1.83722856892508,0.294181073841962,3.63499649510023,0.301298063639143,1.10462117795563,1.14663613619872,2.47198452299836,1.62180496561342,2.64983502227973,2.36553577885667,1.36337165530663,3.36341978296312,2.02299245242289,0.64807425306325,0.662889296772376,3.70434755623219,1.95034585817728,0.499139476426141,0.886053057367922,1.28332757943752,3.24692340238987,1.36168689595705,3.32543524485804,2.06193658097576,1.00245612275727,0.958052162346547,4.43724742745058,2.39606394346115,2.67603056446153,1.0001213020206,1.22370783241664,4.92067768402611
0.6,1.42247681812173,3.7832399394795,2.21591892846502,2.75068479040577,3.92078926519843,2.37243320438729,3.99501760804534,3.89768624402674,1.25278566836887,2.08303795686179,4.56229596891384,2.77572770562779,2.71476499092065,3.93514105381818,0.957129983563312,4.10170059293458,1.34105295366623,1.0119142586374,1.35157705442423,7.87503303143026,2.13742293680378,7.10177447600008,3.3648474358824,3.02800245090545,1.78204837723235,1.8778103588654,2.65072442121292,2.32471614856796,3.55066909455922,6.3140266951598,3.1001858661006,1.05945179151815,2.98114331786693,0.81449753411452,2.738430962927,1.66433449767163,4.46971214289336,2.41477343098636,1.48320055215687,2.5146361023283,2.05266783315861,2.31468546746023,3.4195567558347,2.88009580621425,3.8323650244382,2.81186725849729,3.36508004073381,0.578808965453691,1.7819865736357,2.16438149938917,6.5271010581825,2.22607705551636,2.61679137483766,2.61294233778544,3.5317577600705,2.53058424290603,3.07030686352611,2.19167588971474,1.30193991847554,1.87972918676356,2.23529977237426,2.48515319083258,2.33200104415154,1.37389409695093,4.13016436488001,3.91253306154982,1.46668582206903,2.83528470485348,2.8317786160549,1.06203035330154,5.57646207935151,0.0433721404317108,1.65866485252892,1.80312213813255,3.00096535830665,2.44958441833316,3.66841160489728,3.12968634708784,2.22747745065778,4.86451669779396,4.1036609644215,1.33322921065428,2.2873070559142,5.0353436032042,2.64389457327644,1.62402590130664,1.3009389045477,1.88313658473882,4.63767603043605,0.908312331836568,3.7638734636776,2.90303672366081,2.36080943112264,1.19039827759533,5.37515429673647,3.59515834353353,4.15581550110913,1.6722749736566,0.959572169112964,6.89239729954328
0.8,2.44134148701042,4.69261942123053,2.67736134002957,3.42228571019156,4.27230006057766,1.69399485388159,4.78553906313269,4.66906008603757,1.66007031422398,1.90775399995781,5.61873571746407,3.06042201153663,4.4339699264946,4.74375076435855,1.79742574290246,4.53039306937268,1.62245198890035,1.59033184477113,1.8568479759021,9.64826823542361,2.4867480404078,8.67172093434338,3.78874351245281,3.51780446339382,3.06880627432866,2.73269395672455,2.36783136839865,2.17786536437042,4.43467992093665,7.96267167004755,3.57759116585608,2.18238661929821,2.35892375921389,1.35423420675242,3.94152614822566,2.14936430592493,4.92291497506222,3.52204869045325,2.57534519007668,2.94774570917139,2.33120741325848,1.64851208394634,4.04324054422781,3.62058163373629,4.37059995909404,3.70280477612474,4.09066579084145,0.623009470203834,1.48443446807866,2.18808933729322,8.72408333637674,2.84688278055091,4.41605227667151,2.90645786082752,3.6499828681591,3.2716261326997,4.7291880605866,3.33773836646692,1.87956979961524,3.36072732862979,2.28025699222455,2.99939869487212,2.86683654237871,2.29234592109066,5.33810731871618,4.26489120647984,2.33131776192888,3.09679755737638,3.57976272706768,0.996467186757087,6.67083757388624,2.16023495767263,2.41536065656742,2.15970976727112,3.81589738110298,2.86014560855451,4.89711156941287,4.05403710696123,2.07186859567314,5.60746722026369,5.23896549589493,1.581374671486,1.61698657281404,6.06588956380489,3.66731469855302,2.24470833207778,1.83259606390879,3.00092821025899,6.0031282975808,2.15501501949581,5.19825006272989,3.73456756879907,2.03020662659814,1.95668197353257,7.29944945349407,3.96019438267693,5.71438324180995,2.68893335992701,0.985748867906722,7.59249413347966
1,2.65046914978662,5.67626238513145,4.03699126699583,3.47570767607171,4.7506563160715,3.06261210217923,5.89839339872152,5.12809673307908,1.73695210413455,2.65915058315097,7.43200993809095,3.29796212438432,4.98053265563428,5.79470916739259,1.65071898778232,5.28061956855845,2.10784193538458,0.805988895123894,2.04634418831743,10.7876105717514,3.97804860851295,9.04754817069081,5.19773270895651,4.37150424655815,3.88761451581512,3.02453032022627,2.93789424808272,2.67380838026908,5.39681397467066,8.64629623052299,4.79324317659952,1.82462476310049,3.01887615970927,2.36670550599915,4.46896321597617,2.46181548443575,6.34988844091941,3.50566684110591,2.54477394986125,3.48057066594879,3.62459396354706,2.13002664752265,4.50265243570003,4.60913600339115,4.45153614881314,4.90962467663051,4.40086365194259,1.01536377536023,1.93470798924477,3.25922637284706,9.61854242935507,4.16686494338168,4.38250865004134,3.87577793440639,3.85811747983779,3.51721526336571,5.91235642757838,3.72320503679817,1.90907628201306,3.75633794982714,3.23657902620628,3.68560811608177,3.09915006512058,1.95343180521797,5.2087412463694,5.56509264315264,3.34872830310651,3.57628562839988,3.94401649520415,1.57480191225787,7.47679706487161,1.84321329053613,1.65517798965209,2.76930803567133,4.85322720185153,3.23404762419077,5.66114624083878,4.32493353309309,2.88155550641136,6.73116683997115,6.72315164147291,2.76062394010107,2.09098234554234,6.73715476363491,4.66389184422942,1.7282494658201,1.72933482665791,3.40178008038524,6.31416955839253,2.32467319787509,5.59343736066823,4.1366761237834,2.79553162655389,2.15323569143191,8.20357217990433,4.91832855292462,6.25555156772711,2.4757048362921,1.64871597244861,10.1067252602556
1.2,3.93958020340105,6.19276368152569,5.095841847943,3.65536424054473,6.14426987666086,3.75773112190966,6.61010406224442,5.07351016898238,2.35099429124774,3.54668956769755,8.09184082112483,4.2144655257034,6.05496281665555,6.63250006665691,2.57461813122255,6.23078427644034,2.49586178286616,1.38871040812894,2.93721777958611,12.3537943777309,4.6464805028227,9.31527579727498,5.14090689868914,5.21085975565658,4.68222212751386,4.06958180830496,3.64859194249616,3.02101662565034,5.49362577690544,10.2798004769524,5.24993792029622,2.00418685457437,4.05817652360927,2.70590580987126,5.32902693760853,2.68441156665195,7.17232080760934,4.19688989677515,2.88117994896102,3.55354480781067,3.97287794250904,2.8314786309207,5.17829923256738,4.73079949666146,4.93719277313106,5.46922600412617,5.08797955165673,1.09197582615507,2.24075291058763,3.77349826449892,10.345345840631,5.10908343821587,5.01011733094421,4.02347392488793,5.92949465439217,2.87417830695874,6.35958756336997,4.3114669847896,2.38700411137853,4.78794652767751,2.78333716199068,4.27923953078813,3.8172383409437,3.04462724104629,6.11063162305362,5.81380732304083,3.52542522923965,4.56556295414109,4.62490948677218,1.48709003331878,8.53571394296794,1.9415858184707,2.83456828288052,2.54291473545778,5.63125220177931,4.3447744584741,6.21834571555628,5.94380484480385,3.31679173281436,7.41527001810116,7.32506215767961,3.05497839995983,2.80405694673393,6.79033427943535,5.33965517536417,2.4065671858675,1.70478320075487,4.05280754188615,7.31452024497466,2.53150560324543,7.32862092047079,4.96478959315528,3.60808105122814,2.53924673917457,8.98161354179642,5.77615356548662,7.06532014823495,3.26060278647352,1.58514048733478,10.4817200925149
1.4,3.9635064451485,5.67110933382139,5.49760332365367,4.18436438517241,6.30700399754517,4.05573291107654,6.8983361846804,6.60166163185651,2.91029936221523,3.98746017885792,9.13180212632124,3.98101745379048,6.49039643987496,6.96667970950832,2.39786718352166,6.89407084558768,2.57477732307906,2.11006187410932,2.52722317133955,12.5821404424409,4.97244609655942,9.5508558286767,6.39324837775534,5.43549101970587,5.96717607520409,4.13068237301767,3.66075993623639,3.10681533006743,6.05008855895928,11.3868086205343,6.10894009853539,2.82464383797908,4.58975381643197,3.55523396252184,5.82598271365374,2.88451960315997,7.20314509987027,4.15556965455666,4.35391991409988,3.73303039428002,4.7501308723476,2.74280566290449,6.27935543909684,5.09921506511924,4.81351143145582,5.15235253439552,5.36959289101197,1.59130409947053,3.09703917615736,5.21817632686104,11.2726366605405,5.22353537507853,5.35092247680931,4.66835300082808,6.36170778508076,3.96889124853209,6.90579547024348,5.67922603823812,2.27564445772878,5.71703279549807,3.70932792780887,4.76947357070792,4.6714361437309,3.57080855495133,7.25227719313251,7.21309133548783,3.85017526792932,5.90232868167548,4.84183976043523,1.78007894316753,9.3737653635965,1.70108346783936,2.63020566819398,3.00635359055397,5.4296909626343,4.41205362374667,6.32201961158196,5.21037726738945,3.9314945646167,8.09780028709431,9.24874863847595,2.99616708421884,2.97044426284805,6.97613562274584,5.53039802770162,2.81839248265058,2.29508647543062,3.5422687908002,8.1122891703232,3.49035509216138,7.29236847502069,5.29480914059573,4.5106954477464,2.70170355721879,9.52256837730544,6.73961694917759,7.58353043592775,3.42823894479775,1.61359142049216,10.4881077567073
1.6,4.76345438764137,6.53871376522516,6.56062160702472,4.31003858552212,6.98196161553901,4.09218860093887,8.2376472871145,7.00187633596901,3.17710368317373,3.83813497088021,10.0841863599138,3.62885965141695,7.08789185134742,6.91843431875747,2.9606677036166,7.42584207797736,3.01404672478599,2.2055641050934,3.41343011038366,13.3424953941885,4.83522986955052,9.87262033914481,6.72158869569017,6.38775374636448,6.93045288872238,4.19456830223451,3.29812643118949,3.63742725835411,6.63809528399855,12.2024671899288,6.40734459266228,3.78093591018521,4.44979662631375,3.39924136855079,6.21080177510025,3.25841104509834,7.61935731946968,5.46556452769995,4.95416052612597,4.7951818809504,4.98801858816373,3.4766719321991,7.05448545041233,5.75173524983579,5.56323647459435,5.268031427395,5.63889117954268,1.58959407592789,2.62411981874021,5.02551103654201,12.289421240042,5.7098565016307,6.1500541346051,5.39138525964344,6.57655522845202,4.65773147418875,7.61559765991186,5.93621333802087,2.86733511951278,6.56603561053398,4.43170866604368,5.99111086460359,4.88556068199635,3.79532862961275,7.76826664132162,7.13788023537429,4.55952551530199,6.0871650351955,5.54026007881924,1.93282597198329,10.2812531919816,3.09103878221841,2.77527845034418,3.51971801425044,5.529144366416,4.27900757616298,7.08505993006853,5.76991145678844,3.86392127874659,9.07647245905517,9.99310379006114,3.68749418411534,3.1526143998287,7.2355324722622,6.16447239416888,2.82272545799244,2.58070659915618,4.58667500490417,8.79092973197342,4.08621920870089,8.150607466882,5.87206663532113,4.94986366506309,3.24979130272135,10.6201752572831,6.92271076428593,7.79348375119377,3.44390901748855,1.76997070401727,10.7644931549249
1.8,3.89627835622665,8.17786130882091,6.3789630251149,4.81759224339896,6.96728938216939,4.42295650677189,8.50785037844479,7.8328422300109,3.4483255926791,4.21310006180981,10.5546958087778,4.69438447983678,7.51656243275975,7.73332389370699,2.98782744841507,8.42563997197519,3.64957573036185,2.09614505581167,3.75064065258349,13.443403783232,5.38105399321696,9.91001655347471,7.23979043060716,6.74067016049633,6.3636327376802,4.90119923599916,3.82387244144552,3.61142476825467,6.81634380235476,13.1236503213563,7.62625999051839,4.36671983856569,4.93205843283213,3.55609563953508,6.6761707731483,4.01342153536497,8.01470075644217,4.67720760590387,5.53573916183134,4.29002498559159,5.02741668844056,3.9829325922435,7.2716500946222,5.79618109885039,5.71361520702268,5.91791242937395,5.9259343091877,2.31679947057161,2.83755227649961,6.2979035591939,13.0411984059277,5.69047708586153,6.13299929125894,6.14775267830537,6.84013305665364,4.722171971933,8.62717651924333,5.99693063610643,2.52486962525682,7.67509501427577,5.05929514030135,5.88305001076243,5.03906361227124,4.83683622036579,7.07551651440568,7.49056717353475,4.9504472195774,6.78344650701699,5.57191175474881,2.39296354800619,9.68539537680216,2.79244984919668,3.07474167096583,2.96157375692118,7.84986932895811,5.05490790930543,6.97805268583572,6.81764396040575,4.57034021376111,8.93380128655679,10.8892816096569,4.60623545288443,4.31176345407948,7.29775665649945,6.3957184569261,3.43944896901812,2.38869737567491,4.19197722529731,9.33024831506414,4.0929024312521,7.91441682571758,6.56040297806193,5.2148229221413,3.01980646375974,11.5545603432404,8.01722148944833,8.31591802695139,4.25371930217709,2.1850767375568,11.6502911025462
