time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
0,0.255002235973823,-0.305694131512983,0.077043650188617,-0.158917911405012,-0.242153586302131,0.0646271869547882,0.0453808530462336,-0.189462827970118,-0.484336162542146,-0.242588177597749,-0.548197602032773,0.541035958073223,-0.240423917011497,0.457543712543734,0.0089537113387956,-0.0820296784534508,0.113036798331806,0.0452430945294192,-0.0388995971344438,-0.0614799457136783
0.2,1.89150578727206,0.363928842626237,0.043030295755639,0.532802559747046,1.0784954142866,1.19465095014435,0.432362335899053,1.51522446064999,0.949442873627922,0.131996799980754,2.08477247022892,1.68868351142509,0.331560711528321,0.814983348824821,1.32893232377085,1.00648697322608,1.39944940891345,1.70529777020446,1.02475708581434,0.686726311353443
0.4,2.18327999998386,0.531308684875024,0.854917324100042,1.35017890049009,2.67937736464493,1.32777356044332,1.32997809256139,2.39167165219478,1.28292987383282,-0.123994575771922,2.42087746111235,2.24928684511431,1.58194552469251,1.24260082857441,2.38336448483462,2.6038342067921,2.80705636026669,2.33889991134528,2.06247041702583,1.87128533530866
0.6,2.79264349268253,1.31092335209527,0.26843521245094,2.01479159604076,3.5761857688137,2.94249566711235,1.73640517343324,3.35127762107588,1.43395216990021,0.595916593401921,3.66611459667915,3.00683820755689,2.37360057517096,2.13025997165131,3.06088190985466,3.48829013581946,3.24046306991982,2.80473713144338,3.06515023906138,2.51120412710363
0.8,3.54307596713022,2.4999496413772,0.855178398243929,3.10139851297248,3.66337011828348,3.567870180362,3.03205901549043,4.33229179239514,1.4489487423647,0.377235592106566,4.34287478108697,2.76730216115301,2.84932608368572,3.67657488504021,3.89028000460697,3.94310342382029,5.1823275976887,4.50830546726248,3.17109186280733,2.42309952480726
1,4.67159915645835,1.90545402489855,0.591021465931334,3.15782329734108,4.8928719350915,4.65605714232656,3.53633469190267,4.48917476578133,3.07310489366838,0.803295484753202,5.07130492562869,4.19719353979426,3.87986907474737,3.69526361089336,4.72965895479873,5.07605230603781,4.53090963035677,4.79343342584263,3.99280194037269,3.22984620780735
1.2,4.37665298704879,2.24682728307332,1.39105769902159,3.82443990155545,5.7677225601421,4.93256371130301,4.41674521439879,5.25864940114758,2.79488428612044,1.34016514871189,6.9244376230324,4.35858446245627,4.46606279503709,4.514358978296,4.51671313877833,5.87572411325507,5.13938760289206,5.20470871944994,4.97461043416797,2.64547265800755
1.4,6.43445988576899,3.12710975167709,1.53298552192268,3.77939503830181,5.47865227582007,5.93908075344843,5.31929351709614,5.72369109574646,2.67029290505229,1.2522849669548,6.78833864752921,4.71926541278294,4.96965917909563,4.53026628684495,5.5772628089622,7.02948490329369,5.97212676056394,5.95477797858304,5.45495100542333,3.8457314678198
1.6,5.79304126885815,4.08924619648218,1.37915624581433,4.0588112718565,6.62772012238201,6.81367015008267,5.99699785760195,6.34794367045577,2.90069763419585,1.91181523942713,7.33594711245328,5.64501637198048,5.14557592850221,4.80529271232736,5.2107646881497,7.40306971407445,6.32540348949422,6.72166288434996,6.08061544868871,3.6673837957434
1.8,6.47629489733616,3.67025565313498,1.2257271069086,4.64352461234866,7.19396748610691,7.92069254098572,5.43266227785688,7.48571102967903,3.35333045641525,0.772035695246647,7.51031638712745,5.81539135072764,5.63011055694946,5.3781069172924,5.90270053471125,7.60598945129002,6.59312790124052,7.44203294115569,6.18634036448204,4.18160839209944
2,6.55615529730207,5.01320313598001,1.32453202322218,4.98233172986185,7.9060922261642,8.12501964197885,6.68512011831129,7.98302499905212,3.22983714625266,1.39077743206026,8.54138143580028,5.44609170117435,6.03903260503593,4.862129241154,5.48885461936072,7.56476332251796,6.82136009385988,7.22305136560467,7.34207991539254,4.52980266882566
