time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40
0,-0.00141981958514363,0.0470795536119788,0.374264840295938,0.224095142051488,0.0809245899881655,0.0318216306063745,0.562851104764216,-0.156139293630241,-0.325389890679185,0.31802547198819,-0.245635342894771,-0.273981041939078,0.0539039279743397,-0.548296053997248,0.129189924253743,0.227681218389172,-0.102688464633756,0.319862424160622,0.0440333077975051,0.273973334585718,-0.26530318978598,-0.231150946109142,0.292531113713566,-0.209490046723214,0.00538087170207245,0.523609591330405,-0.238536893794757,-0.133801202452668,-0.200300802644109,0.271817000791867,0.556650009276281,-0.351350878506488,0.291661277866946,0.58288691852253,-0.277873355193244,-0.255197930520111,0.256189504467854,0.0708947725288523,0.118439910197059,0.0874575398813764
0.2,1.39353205274981,0.869378855715235,1.02143629210426,0.555103757103987,1.22917400519577,1.87040677471493,1.70496621868283,0.930875751903703,0.600860701318643,1.92101650534801,1.17518820401582,1.70440761470284,0.611923175241685,2.77608220498363,1.88048222607161,2.33317838117017,0.409127808578577,0.992809648268866,1.69014406864588,2.15732905092026,0.488356706917154,1.20318214452028,0.59898477517383,0.909298048100101,1.50458986894018,1.07135686059205,1.41440392115355,0.531818680824271,0.872236931140391,2.04608767552109,0.359058669730515,0.665865657229861,1.3378075643743,0.79110940725723,2.74756277972976,0.173566755746864,-0.299076397201038,1.09134670907589,0.722765723576605,0.697963795907284
0.4,2.59722500467919,1.30080610077947,1.91837346329764,1.42667236366187,2.22568941298503,2.81822177510226,2.95227871028452,1.90776497252097,1.06652712427202,2.35934079127041,1.67475987554256,3.57631521921835,1.25301758284071,4.45241731843394,3.54796509500275,3.76798173055301,1.06824645856174,1.66602855063459,3.60295662620794,3.77807588534433,0.967968185251952,1.71052443231317,1.7159649655026,1.93392164917514,2.16102050434647,2.28083548191047,2.61664819274417,1.41284751373536,2.23580076552207,3.84037561680035,1.49839425457665,-0.142445254999544,1.33919077081136,1.55778761872633,4.93056681035022,1.54872110848857,1.18000408726985,2.17329495926265,1.22879456065034,1.18815431032617
0.6,2.91727897424899,1.29462102568003,1.82078745185685,1.55621850907442,2.76094018405853,4.44674246358247,2.93117616947065,3.43078298354103,2.47294316229462,3.53252586974633,2.90639436540547,4.17334240182345,1.80178209816446,5.80911063639924,5.34295133550677,6.11178517799051,2.05568772462376,2.54630984363036,3.83559523062315,5.4757406437163,2.35218810360232,1.91919514691496,1.79694133593183,2.77806791202578,3.9994796377736,3.06203342773107,4.31791977790944,2.01673402769507,3.11560867979348,5.24842973132598,2.40094392431191,0.34310000271127,2.26962567085711,2.19756713506063,7.67201627021328,1.67782373795024,1.56804063029913,3.83696358246616,2.36521831756701,2.42540128477094
0.8,4.15756448345604,2.05888633036077,3.43132570742248,1.61973925582263,3.79742088810022,5.5176680105538,3.74735114646686,3.46178694032583,2.61400677633044,4.61340864789234,3.3680907004278,4.515321951072,1.84055188371913,7.41999731350363,6.66818664910253,7.17093100026916,2.96719287042184,3.14012513503791,4.820823059978,7.16675170027918,2.74621605816529,3.41834153049195,2.41757415770503,2.90662011590209,4.57048411777138,4.12815755450497,5.56415977558281,1.9070731905069,2.98392785716502,6.13003638353101,2.1437535830012,-0.127587017186712,3.02700900493392,2.32477313741414,9.54993753902564,2.37382779171718,2.09640193445746,3.99590890610204,2.27792735552011,2.99808804268008
1,5.12613292440128,2.49122103345595,3.22762968473639,2.14462860831695,4.39827379192798,6.15228172758779,5.05147390159885,4.48315299446759,2.49258200673414,5.62258615802424,3.28510598886858,5.2030996828681,1.94429025506961,8.47619766555512,7.18529229719975,7.64844899423704,3.06459833376623,4.52969460760937,6.19535704454184,7.8413081358802,2.89255678279464,3.11547514964444,3.13991326457834,3.69415932386249,5.46933157156403,5.22545081426117,6.16281950888117,2.44807377261923,4.71061898639523,6.9328269379468,3.28505596777515,-0.638653536671932,3.17967614581831,3.60588878446314,11.8143196350975,2.90333168982416,2.50064309185813,4.7215066717075,2.73015068114279,3.96043711295336
1.2,6.63559344505961,3.20229268950072,4.51736538609187,2.2581983000796,5.0945914803845,7.16058927334329,5.33587606903543,4.96822465491477,3.18437226842485,6.58922816030875,3.86545649000878,5.94452845870281,1.59318556429746,9.00894138941285,7.26578754325065,8.76626072855658,3.10912841834004,5.13771337506734,7.21033725483264,10.4239299239126,3.97168482265624,4.37057749784845,3.3031356127882,4.53666691052349,4.91976437356795,5.92656150037092,6.89033495431266,3.50137017544607,4.37976640797542,8.68792894217837,3.2744085659144,0.998636727153693,3.77187859705615,3.97886836706127,13.7658256392608,3.56780307968325,2.98894457534334,4.67166524834488,2.74993715539712,3.8112580409558
1.4,6.56129879979223,3.71284222532174,4.53697697509274,2.28505323693078,5.55451221694543,7.49960262260427,6.0570670731457,5.92627503802668,3.83721216980204,7.35138317899716,4.70125260619187,6.63652636255132,2.4268010400027,10.7038897215561,7.55748226187992,10.2924771085935,4.15265523587545,5.72570386296405,7.58609437605186,10.7158284005576,4.28597721951368,4.42194628048266,4.26321569257669,5.06895218958587,5.5045062543175,6.10876087584983,7.83063573728526,4.1426645183718,6.36798393383796,8.99818862811182,4.25308861476107,1.39336027298642,4.21231218188615,4.56886385396204,14.8927445877551,3.92345968868734,3.66720037362047,6.21059681534575,2.72290954086583,4.75892724201317
1.6,7.04463061937005,4.10794672661014,5.03326038274169,3.30703031466191,5.6912497983277,8.26589128800499,6.36286585620537,7.28753845312521,4.16044005547414,8.2338092009861,5.58311435573789,7.31800670583971,3.32693146268628,11.8612693936449,8.61532705317702,9.9953033796907,4.4330670501569,6.12129197822403,7.33103220743428,11.3416272383488,4.7780588356702,4.94649241340182,4.39421472292906,5.52337164556414,6.42820778813425,7.75338988329593,8.59299863509273,4.97784886376613,5.88010577115206,10.4689789558416,4.25225648464549,1.3230203519871,4.5542429446606,4.77754141112828,16.7530633417943,4.7070147616562,4.45828225064275,5.57885361299857,3.64159479656311,5.16613309550526
1.8,7.82164264642781,4.56785423969937,5.79008277169226,3.02945906881644,6.64012588715098,8.5664699358241,6.41418293800803,7.82491658642555,4.41538266041785,7.58166914433993,5.55067927943385,8.05863827671515,3.95821639654905,11.5990649905216,7.8592841520309,11.4503820662522,4.61853881690513,6.24085753236387,8.82449366148829,11.5665631943458,5.33202696864433,5.10860304192558,4.04087467234255,6.01351329354233,6.58440223758669,7.00081385918238,8.68754216234527,4.52573746682692,6.9644038225859,11.5024579117673,5.01344513192995,2.01141255594419,5.43168418537448,5.72523060247258,18.4178128636655,5.03918521151279,3.91731569045164,4.44109290757243,3.18719365439988,5.50115291040261
