mu1,mu2,mu3
-0.6247813408458429,-2.8920663287168686,0.000735842289280645
-0.7262094588219535,-2.88031199632129,-0.14329964943268497
-0.6427108527547087,-2.8948958271503176,-0.02893540847647466
-0.6113219410047123,-2.916096512605527,-0.032019059048815905
-0.765230060647017,-2.8845243336498902,-0.016118156457817667
-0.6033726248670883,-2.871820302061938,-0.13498588696255998
-0.6378578154730591,-2.8814298941752634,-0.14658835513392282
-0.7745093063646666,-2.920948593863891,-0.09282264004684201
-0.6372653895605345,-2.867243986779046,-0.13456308945883402
-0.7102134220470111,-2.9199939889364708,-0.04376503097034187
-0.7145751758374399,-2.8793209867459995,-0.1760826279867677
-0.7669127155484253,-2.8840466582771054,-0.06891309294250152
-0.677029234964392,-2.8755777644456804,-0.1008891681224641
-0.7667350115199433,-2.956396230617812,-0.10298744030658298
-0.6440476766038918,-2.8272726572195244,-0.1423887961915173
-0.7535241865307483,-2.9417625926868447,-0.07985539855541235
-0.7324534418953198,-2.7427278139105224,-0.06537499859456476
-0.6908200290754419,-2.9985137194368447,-0.10956077824447372
-0.6225023734068584,-2.8719330043621256,-0.00927888658665392
-0.7390323050327313,-2.8301940184943404,-0.2179570624192461
-0.7447870286370875,-2.8224830514638333,-0.04361660839381595
-0.6968105711742658,-2.8561473594650026,-0.13783628942741166
-0.768463044369002,-2.8409533111869716,-0.09553020173109728
-0.6966394647129133,-2.876444205661881,-0.13527170025123775
-0.709870848954244,-2.923626411636086,-0.094518351140506
-0.7197538549484974,-2.916456669001857,-0.07642567830388089
-0.7636764198616974,-2.940191930346236,-0.13948765378048944
-0.7643695167433816,-2.817845767616696,-0.13715333151338996
-0.7522343057981842,-2.780814829392244,-0.08896862793724708
-0.720119403148121,-2.926605268177842,-0.15970272384312414
-0.6623915680199688,-2.8731564829740495,-0.11826699405509625
-0.771119377870404,-2.9051185934308643,-0.1182327759293168
-0.787035216318012,-2.9066963533480497,-0.10561059590810515
-0.7070722211372531,-2.8592954928090073,-0.10431946702797935
-0.7256581850064967,-2.895098110661501,-0.10237782931225481
-0.7256581850064967,-2.895098110661501,-0.10237782931225481
-0.7287958658398151,-2.8923924322493226,-0.1205198339069618
-0.696313731093334,-2.8864835373174036,-0.20287908133381155
-0.7383848555944779,-2.9504020861453775,-0.016892668729881884
-0.6947299281485492,-2.941908190201759,-0.16238864456306162
-0.7309521433874905,-2.8942566068415303,-0.09963733391743816
-0.6331540229972155,-2.9271552002342496,-0.12099146052629962
-0.7663187023662879,-2.8185991061081097,-0.14020569599280522
-0.6410009937575366,-2.915812085387732,-0.029939685753512565
-0.7464811460635679,-2.9263690691028006,-0.19817544995198155
-0.6689962437814971,-2.8646889272060925,-0.18280227414661532
-0.6689962437814971,-2.8646889272060925,-0.18280227414661532
-0.6965042945994211,-2.8458396933315306,-0.145027369421084
-0.7070925966124497,-2.918041765446043,-0.18642767640518537
-0.6435196980937204,-2.8957971833304343,-0.13354781169003632
-0.6782855219949977,-2.915808093541931,0.02991413545384919
-0.6689551037517597,-2.9317091963907944,-0.14579143675969117
-0.6943203239293294,-2.866266767619789,-0.0710193680273167
-0.6713398832252272,-2.9498781548464135,-0.059814030505574475
-0.6899616450480518,-2.864052598695992,-0.09738475482283103
-0.6599166459307036,-2.9306255512113406,-0.13060600685843343
-0.6658820949528755,-2.864603328415529,-0.12540207609347978
-0.6506315538428087,-2.9151609307296082,-0.07790605778112167
-0.6185057868027016,-2.9221753190342654,-0.09530702048533835
-0.6260577118094103,-2.895294324812078,-0.013576933793968925
-0.6161183324705306,-2.9035715005694454,-0.019452691096428526
-0.724441753969146,-3.0554176887433524,-0.037628861782176476
-0.5920874527109612,-2.941934975781978,-0.1379433457284106
-0.5546826189927818,-3.0486462418097653,-0.11539713435998503
-0.7161138162363458,-2.907603542327602,0.014537793420173029
-0.6549418023359524,-2.9327670405967314,-0.06270119543826191
-0.5943790497746957,-2.893916387236743,-0.020984604058395542
-0.6291441129447155,-3.054512848315715,-0.10307995499981198
-0.6061466561415265,-2.8684921351755492,-0.08760235734439713
-0.6947551678410437,-2.845030357879353,-0.05910057737740541
-0.6995326580621338,-2.8333256734957866,-0.06518440877955115
-0.6554456015117371,-2.955836024490371,-0.0851379592902939
-0.5798985431288941,-2.8834829568661378,-0.10768775075688125
-0.7041263549782226,-2.9537072895270926,-0.08925695513863806
-0.5903548679666812,-2.9630891815628697,-0.02086968636454866
-0.717598872476887,-2.9670585715032467,-0.009387685579049537
-0.5584538704959847,-2.8807078692644277,-0.149602383618933
-0.64523803646519,-2.889320465130099,-0.0948047501232052
-0.6466272692488649,-2.918630649951935,-0.06482000350492975
