kappa1,kappa2,kappa3,xi1
4.95634,1.22121,2.102,-1.67824
5.63436,0.527816,2.13057,-1.65494
5.05947,1.12137,2.15629,-1.72406
5.46045,0.705167,2.12229,-1.51472
5.55394,0.587172,2.13434,-1.58676
5.26754,0.882327,2.14313,-1.60994
6.45051,-0.302119,2.1541,-1.70575
6.44691,-0.292262,2.14628,-1.69294
6.2095,-0.0405556,2.12617,-1.682
6.1746,0.0157317,2.10816,-1.64667
5.08484,1.08959,2.13288,-1.59589
6.00697,0.146781,2.14798,-1.48469
5.9868,0.168666,2.15075,-1.5055
5.79373,0.369231,2.16435,-1.52019
5.16804,0.958942,2.20713,-1.62747
5.07406,1.05715,2.21294,-1.6368
5.2083,0.922726,2.2025,-1.63256
5.12868,0.965168,2.1778,-1.57712
4.79229,1.31569,2.17272,-1.58319
4.98194,1.13523,2.17766,-1.54069
5.35946,0.768045,2.10241,-1.60663
5.41204,0.720128,2.15789,-1.66577
5.40437,0.711982,2.15806,-1.66597
4.62165,1.49746,2.12412,-1.54927
4.61578,1.48826,2.12423,-1.54911
5.03186,1.07108,2.11741,-1.56348
4.97533,1.1515,2.11094,-1.56732
4.96388,1.16229,2.11215,-1.56715
4.83184,1.26194,2.13417,-1.57332
4.68016,1.41661,2.13566,-1.53377
4.90368,1.22927,2.14135,-1.52718
4.88009,1.21853,2.14138,-1.52552
4.8817,1.2196,2.14104,-1.52459
4.83367,1.32936,2.10324,-1.50724
5.39061,0.739696,2.13247,-1.52256
5.28953,0.851541,2.145,-1.59348
5.06073,1.10628,2.12356,-1.57929
5.1934,0.966043,2.07347,-1.65277
6.04797,0.109363,2.15114,-1.62333
5.11575,1.04476,2.14107,-1.65466
5.82801,0.341526,2.13773,-1.66335
5.95469,0.211082,2.11382,-1.66759
6.3287,-0.172835,2.10115,-1.51004
6.2226,-0.0686368,2.08943,-1.58413
5.98048,0.211053,2.12892,-1.67592
5.93028,0.2522,2.13577,-1.67596
5.92254,0.24446,2.13579,-1.67561
4.91647,1.22074,2.11578,-1.59932
5.10759,1.04442,2.15618,-1.70725
6.87452,-0.724406,2.0539,-1.53738
6.8965,-0.757248,2.05841,-1.52945
6.89408,-0.76938,2.05777,-1.52891
5.40505,0.74863,2.21453,-1.59994
5.59276,0.537835,2.1254,-1.65071
5.61415,0.528175,2.14387,-1.60106
6.1795,-0.0348818,2.14458,-1.65661
6.24717,-0.0956347,2.14059,-1.67541
6.60772,-0.456191,2.10666,-1.61191
6.4884,-0.335626,2.13946,-1.6375
6.44564,-0.273117,2.0964,-1.68494
6.90901,-0.735861,2.08129,-1.66629
6.5758,-0.413785,2.07698,-1.68479
6.70454,-0.516853,2.09545,-1.6139
5.86247,0.299492,2.09214,-1.65624
5.86085,0.29447,2.09217,-1.6568
5.77233,0.403637,2.09169,-1.68178
5.0296,1.18595,2.18687,-1.65768
5.41736,0.794745,2.09498,-1.65443
5.42004,0.799708,2.09476,-1.65172
5.1048,1.119,2.1405,-1.69413
4.55814,1.67365,2.07482,-1.63597
4.53626,1.68747,2.11275,-1.62764
4.1771,2.07055,2.15993,-1.61414
4.22408,2.00538,2.15693,-1.60946
4.85745,1.37715,2.16438,-1.62185
5.75018,0.471281,2.09747,-1.59696
5.84684,0.364524,2.12368,-1.5853
5.9042,0.31147,2.13232,-1.57761
6.18163,0.0466084,2.09597,-1.55514
6.12562,0.0791105,2.09549,-1.54307
5.53627,0.69761,2.06611,-1.63524
5.40583,0.818034,2.07838,-1.63198
4.97898,1.2221,2.13802,-1.6708
4.97094,1.2341,2.13804,-1.67131
4.74676,1.4758,2.09629,-1.68399
4.6854,1.48757,2.09159,-1.6831
5.08886,1.11302,2.14488,-1.64883
4.96382,1.24213,2.11397,-1.54227
6.16092,0.0360842,2.14397,-1.48818
6.43166,-0.236963,2.15017,-1.52135
6.17163,0.0249547,2.12311,-1.5363
5.84105,0.359839,2.13788,-1.59807
6.04841,0.12946,2.14364,-1.61199
6.15917,0.0193735,2.12524,-1.59583
4.90492,1.27625,2.15167,-1.51312
5.26354,0.90844,2.15753,-1.49937
4.4585,1.73984,2.07942,-1.65094
4.51984,1.68607,2.0597,-1.66753
4.53045,1.64167,2.06742,-1.68826
4.42368,1.74715,2.08682,-1.64875
4.33117,1.82993,2.08467,-1.65408
4.62865,1.52859,2.09291,-1.63765
4.83686,1.33106,2.10287,-1.63335
5.65874,0.504297,2.13051,-1.6937
5.90462,0.225949,2.08902,-1.69455
5.91536,0.222348,2.08856,-1.70619
5.27958,0.86057,2.19449,-1.66088
5.06794,1.0689,2.09429,-1.51635
4.82199,1.34818,2.10762,-1.51985
4.76942,1.38275,2.11059,-1.60057
4.74288,1.40196,2.10731,-1.60692
4.55752,1.58475,2.13315,-1.5843
4.48538,1.65841,2.14086,-1.58376
4.92867,1.21984,2.16057,-1.57871
4.67259,1.46377,2.0942,-1.69289
5.51073,0.620912,2.16903,-1.60365
5.4521,0.673262,2.16593,-1.58847
4.65822,1.46967,2.1141,-1.59281
4.75552,1.39097,2.1211,-1.64723
4.74735,1.38362,2.12109,-1.64751
5.50963,0.62638,2.16012,-1.57636
5.23577,0.916148,2.15863,-1.52118
5.13319,1.01619,2.12664,-1.65266
5.60113,0.551547,2.12337,-1.71343
5.57377,0.584689,2.12115,-1.67813
5.21792,0.947227,2.11949,-1.58333
5.01525,1.15231,2.13377,-1.66199
5.44303,0.726249,2.15375,-1.60782
5.18706,1.00335,2.15837,-1.6157
5.37957,0.800539,2.12388,-1.62488
5.4434,0.713947,2.11203,-1.62771
5.45517,0.737307,2.11214,-1.62816
4.89178,1.307,2.09232,-1.58266
4.60377,1.58775,2.11903,-1.59646
4.7563,1.43497,2.15585,-1.54633
5.83776,0.360444,2.12563,-1.64339
5.63941,0.566816,2.11239,-1.62624
5.30554,0.901558,2.13173,-1.54907
5.29082,0.867852,2.13152,-1.54814
6.15797,0.0470981,2.13526,-1.60586
5.889,0.282988,2.09508,-1.59552
4.97586,1.19536,2.14256,-1.49413
5.23664,0.893524,2.16817,-1.69717
5.43,0.697062,2.12993,-1.68113
5.56345,0.573945,2.11803,-1.66512
5.267,0.869308,2.12641,-1.66838
5.21327,0.919997,2.13335,-1.65065
5.69648,0.493713,2.14108,-1.66794
5.63775,0.565696,2.14368,-1.63426
5.61973,0.532052,2.15664,-1.55826
5.58638,0.5663,2.13002,-1.58276
5.55209,0.601469,2.14663,-1.52841
5.88064,0.300722,2.10391,-1.54336
5.71418,0.466159,2.11192,-1.53701
5.69048,0.481645,2.19744,-1.58072
5.6443,0.48949,2.1108,-1.71053
5.67655,0.517385,2.11003,-1.70927
5.7052,0.481481,2.11792,-1.71697
5.93749,0.245489,2.12444,-1.66611
5.46887,0.704341,2.05692,-1.6027
5.39248,0.778859,2.08116,-1.59886
5.7783,0.396077,2.16044,-1.7036
5.29118,0.897217,2.12803,-1.63521
5.24523,0.914664,2.12841,-1.63052
5.32771,0.851747,2.14989,-1.57711
5.24173,0.922045,2.14233,-1.69566
5.13705,1.01823,2.14851,-1.67396
5.10605,1.04842,2.1346,-1.70784
5.2081,0.952672,2.16272,-1.69113
5.06021,1.10394,2.0877,-1.6561
5.03654,1.10417,2.09117,-1.65224
4.87838,1.24707,2.16374,-1.64714
5.65099,0.473392,2.13533,-1.68553
5.11421,1.02902,2.12833,-1.7135
4.69009,1.44771,2.107,-1.61743
4.80574,1.31911,2.13037,-1.62591
4.92884,1.17153,2.12653,-1.63807
4.9978,1.13334,2.12343,-1.62877
5.19251,0.913933,2.13346,-1.57896
5.76987,0.335238,2.10082,-1.58467
5.54798,0.56399,2.08433,-1.57234
5.53571,0.543395,2.08416,-1.57318
5.5508,0.56226,2.08459,-1.5739
5.59794,0.545756,2.09936,-1.5876
5.61513,0.521984,2.09852,-1.57362
5.57138,0.562694,2.0915,-1.57553
5.91992,0.190499,2.17403,-1.59875
5.66279,0.45893,2.1161,-1.58552
5.64606,0.457449,2.116,-1.5861
5.58495,0.50749,2.13863,-1.58471
5.27962,0.816417,2.14503,-1.67057
4.94158,1.16575,2.11169,-1.55731
4.39327,1.70606,2.14908,-1.67505
4.71171,1.4108,2.1456,-1.69321
4.95497,1.14507,2.12639,-1.57893
5.0563,1.04953,2.11369,-1.53744
5.53529,0.565995,2.16522,-1.65748
5.56066,0.529753,2.1542,-1.63072
5.3014,0.793629,2.16904,-1.54805
5.43946,0.646367,2.15221,-1.60573
5.25511,0.833436,2.07829,-1.67566
