kappa1,kappa2,kappa3,xi1
5.17205999253032,1.07145952963685,2.12591677569632,-1.50381137561501
5.3894,0.852935,2.10312,-1.49869
5.2882,0.937686,2.08113,-1.51616
5.21173,0.938585,2.08683,-1.52708
5.2308,0.981549,2.08721,-1.52658
5.34533,0.862779,2.09924,-1.54148
5.34564,0.876097,2.16774,-1.61004
5.33933,0.887728,2.14862,-1.64837
5.70974,0.519301,2.13203,-1.60623
5.5058,0.720627,2.12562,-1.61119
4.50459,1.679,2.1164,-1.60946
4.74834,1.47374,2.12444,-1.6045
6.5832,-0.365399,2.12411,-1.58973
5.23104,0.988214,2.1379,-1.57416
5.57253,0.653294,2.09387,-1.59593
5.5486,0.668888,2.10132,-1.58344
5.62572,0.608821,2.10042,-1.57507
5.60894,0.589331,2.09834,-1.57432
5.5272,0.689802,2.10582,-1.54396
5.65146,0.589157,2.12007,-1.55428
5.75583,0.441694,2.12712,-1.55795
5.94364,0.255932,2.11785,-1.58349
5.72478,0.468749,2.09614,-1.58596
5.74248,0.475702,2.09637,-1.585
5.70953,0.489969,2.088,-1.55876
6.25471,-0.0536522,2.12134,-1.59302
6.06807,0.150074,2.17462,-1.57913
6.39593,-0.196124,2.07935,-1.54416
6.01479,0.161016,2.11367,-1.55906
5.86726,0.314713,2.11103,-1.57757
5.69997,0.483296,2.13993,-1.59161
5.01992,1.14034,2.12673,-1.59579
5.98108,0.19631,2.13251,-1.60145
5.27407,0.916473,2.08629,-1.59373
5.21555,0.985582,2.10138,-1.57951
6.22357,-0.00394017,2.16236,-1.60352
5.79193,0.408355,2.15672,-1.61035
5.11439,1.12917,2.1293,-1.6022
5.82401,0.387773,2.14327,-1.61093
5.69092,0.512024,2.10346,-1.58561
5.69092,0.512024,2.10346,-1.58561
5.73073,0.504115,2.10968,-1.58022
6.05025,0.184013,2.07926,-1.61603
6.07127,0.137239,2.09425,-1.5668
5.01155,1.2033,2.10867,-1.62287
5.01993,1.22628,2.10818,-1.6198
5.00158,1.2213,2.10729,-1.61941
5.54133,0.694824,2.10227,-1.59835
5.485,0.759156,2.11067,-1.60099
4.7492,1.46988,2.12472,-1.6087
4.76911,1.4888,2.12522,-1.60777
5.25878,0.961219,2.0991,-1.60735
4.88305,1.34121,2.14478,-1.58073
4.82863,1.40197,2.11499,-1.60692
5.57261,0.654868,2.1327,-1.61603
6.09386,0.160007,2.1198,-1.58859
5.1933,1.06206,2.14347,-1.5905
5.67023,0.536673,2.1725,-1.59692
5.69497,0.532102,2.16402,-1.60063
5.42817,0.832402,2.14341,-1.59185
5.30977,0.963754,2.13463,-1.57491
4.9546,1.23899,2.09721,-1.58216
5.17467,1.04208,2.11065,-1.585
5.51579,0.673062,2.12329,-1.60176
4.98868,1.18771,2.12381,-1.59386
5.97979,0.189859,2.10881,-1.59843
4.79124,1.38007,2.13614,-1.61194
4.55962,1.63861,2.12634,-1.63685
4.52772,1.64421,2.13079,-1.63168
4.66434,1.49865,2.09032,-1.61738
4.55527,1.61048,2.09011,-1.59679
5.72608,0.457684,2.12569,-1.5992
5.81942,0.354044,2.14931,-1.62496
5.78755,0.368153,2.14816,-1.58319
5.70299,0.476422,2.1142,-1.58635
5.63048,0.550006,2.10348,-1.58238
5.59491,0.587136,2.10465,-1.58028
5.58747,0.587351,2.11675,-1.60796
5.50548,0.668078,2.09139,-1.58569
5.56893,0.601465,2.15938,-1.61456
5.42814,0.77161,2.15407,-1.6105
5.4209,0.768537,2.15458,-1.61247
5.79105,0.407238,2.14349,-1.60968
5.90924,0.29723,2.14652,-1.60472
4.88819,1.29319,2.09499,-1.61258
4.90153,1.29987,2.09535,-1.61252
5.02691,1.1731,2.15519,-1.60218
5.30217,0.900439,2.12838,-1.60573
6.21989,-0.0208067,2.11716,-1.59328
4.94453,1.24783,2.15506,-1.61229
4.91805,1.2787,2.15796,-1.6148
6.2558,-0.108714,2.10053,-1.58936
5.92994,0.267104,2.04964,-1.61915
4.89192,1.33997,2.12054,-1.58617
5.11736,1.11277,2.20412,-1.59132
5.02823,1.15759,2.12074,-1.6161
5.50729,0.677456,2.14689,-1.59468
5.48861,0.704446,2.15447,-1.57056
6.06346,0.13362,2.10401,-1.60254
6.12011,0.0471572,2.10324,-1.61112
5.99885,0.161845,2.1452,-1.57814
5.98373,0.19014,2.14419,-1.57899
5.71948,0.494634,2.15221,-1.59001
6.90463,-0.703916,2.13597,-1.6112
7.00983,-0.816562,2.11805,-1.61424
6.14019,0.0436939,2.10238,-1.57502
6.14474,0.0257096,2.10288,-1.57489
5.74248,0.440167,2.09341,-1.64327
5.33832,0.830155,2.12587,-1.56354
5.22766,0.940268,2.13468,-1.57038
5.4227,0.739608,2.13222,-1.57245
5.4341,0.727023,2.17418,-1.60704
5.4864,0.726401,2.17592,-1.6126
5.16314,1.01009,2.13924,-1.58952
