kappa1,kappa2,kappa3,xi1
4.82413653154627,0.892553950931917,2.03039054449444,-2.370555172751
5.34975,0.408892,2.00348,-2.74626
5.79177,-0.025175,1.9674,-2.90939
5.77091,-0.0726146,1.96755,-2.91077
5.87525,-0.203864,1.97402,-2.9621
5.56601,0.140316,1.97237,-2.80853
5.81959,-0.188817,1.985,-2.85484
5.63094,0.0341565,1.97635,-2.82999
4.58293,1.07638,1.97608,-2.83597
4.3062,1.31837,1.97973,-2.75682
5.92132,-0.242291,1.99655,-3.27601
4.37087,1.34726,1.98048,-2.84977
5.70498,-0.00590792,1.97872,-3.11781
5.22109,0.471841,1.98146,-2.97429
5.31466,0.374373,1.97423,-3.06177
5.02416,0.714945,1.97199,-3.05038
4.58805,1.10983,1.98576,-3.01716
4.79647,0.954909,1.96848,-3.14161
5.58499,0.107982,1.98648,-2.91795
5.14877,0.541768,1.96738,-3.11756
5.34369,0.357719,1.98541,-3.37915
5.38687,0.346884,1.98549,-3.37405
5.20212,0.51748,1.98108,-3.36483
4.5815,1.11966,1.99501,-2.95389
4.75086,0.898395,1.98118,-3.19212
5.56317,0.124774,1.98117,-3.06223
4.40621,1.25704,2.00914,-2.9507
4.43779,1.23054,1.96481,-2.82293
5.49427,0.168728,1.97071,-2.9246
4.89282,0.777316,1.96512,-2.81378
4.49066,1.1667,1.97242,-2.86303
5.16447,0.449472,1.9975,-3.13549
4.92883,0.679309,1.99017,-3.16902
5.28627,0.350629,1.98496,-3.21031
5.46592,0.1256,1.99951,-3.20816
4.54104,1.11853,1.96874,-3.31117
4.79263,0.797974,1.98115,-3.42146
4.84226,0.800319,1.97564,-3.16498
5.5417,0.103742,1.96765,-2.95571
4.71609,0.944732,1.96645,-2.99097
4.6825,0.991054,1.96693,-3.01226
5.25563,0.412328,1.9724,-3.32868
4.79275,0.883026,1.97732,-3.34844
4.2464,1.38067,1.98432,-2.63783
4.28618,1.41112,1.9843,-2.63826
4.31523,1.30172,1.98316,-2.7096
5.15312,0.489901,1.99212,-3.00008
5.11515,0.513255,1.98503,-2.98197
5.09292,0.605135,1.98158,-2.89193
4.81333,0.80492,1.98887,-2.7696
4.84658,0.841653,1.98879,-2.7716
5.03663,0.65041,1.98109,-2.88724
4.84339,0.936834,1.97046,-2.95288
5.37884,0.403859,1.98167,-2.97384
5.25671,0.526339,1.98122,-2.87111
5.42036,0.319815,1.98755,-2.89754
5.23508,0.464081,1.98633,-3.18862
5.44467,0.261731,1.96934,-3.50579
5.08102,0.616613,2.00144,-2.93067
4.60031,1.06066,1.98597,-2.96506
4.92815,0.800538,1.98205,-2.964
5.41149,0.363147,1.98075,-3.02782
4.63804,1.13337,1.97363,-2.97347
5.14392,0.610851,1.9685,-3.13445
5.40648,0.386965,1.97921,-2.96121
5.50619,0.302597,1.98259,-2.9673
5.47234,0.309559,1.97962,-3.08118
5.16011,0.636413,1.98828,-3.06161
5.19743,0.620803,1.99234,-2.70949
4.77173,1.05725,1.97526,-2.90706
4.82244,0.998363,1.97401,-3.06788
4.25702,1.48671,1.99286,-2.78608
3.97902,1.86479,1.99604,-2.84711
4.06944,1.75835,1.98984,-2.83388
4.66748,1.12461,1.9779,-2.78321
5.19407,0.584935,1.98515,-2.96761
5.20182,0.595758,1.98538,-2.97052
5.51338,0.277235,1.99269,-2.68134
5.71107,0.168414,1.98069,-2.47826
5.7305,0.13381,1.96284,-2.99087
5.72094,0.118753,1.96286,-2.98993
5.66164,0.161782,1.98604,-2.9407
5.48046,0.331055,2.00176,-2.98143
5.04221,0.860098,1.98381,-3.14776
6.30988,-0.398231,1.97036,-2.77442
6.14539,-0.264732,1.97999,-2.71942
6.46961,-0.633579,1.99048,-2.81395
6.50164,-0.58553,1.99054,-2.80978
5.85875,0.0588777,1.98538,-2.91381
5.5034,0.302847,1.97789,-2.72869
